(0.14, 24, 2235)
(0.26, 5, 4811)
(0.17, 23, 6475)
(0.0, 22, 11132)
(0.13, 6, 638)
(0.16, 25, 6542)
(0.26, 22, 19399)
(0.14, 16, 1389)
(0.05, 5, 374)
(0.2, 6, 1956)
(0.16, 12, 1233)
(0.01, 4, 479)
(0.19, 4, 534)
(0.0, 21, 13513)
(0.02, 19, 871)
(0.06, 15, 558)
(0.06, 5, 210)
(0.01, 23, 1747)
(0.06, 19, 643)
(0.24, 19, 12016)
(0.11, 24, 1260)
(0.15, 6, 315)
(0.26, 10, 15376)
(0.12, 17, 1440)
(0.0, 11, 10516)
(0.02, 24, 821)
(0.27, 14, 27765)
(0.21, 2, 603)
(0.25, 10, 7797)
(0.19, 13, 2439)
(0.23, 2, 402)
(0.07, 24, 609)
(0.08, 2, 164)
(0.04, 14, 655)
(0.3, 20, 50000)
(0.28, 11, 33136)
(0.22, 17, 5760)
(0.22, 3, 525)
(0.25, 21, 35360)
(0.01, 21, 1364)
(0.04, 20, 1183)
(0.14, 7, 777)
(0.0, 5, 4553)
(0.29, 20, 50000)
(0.27, 23, 50000)
(0.23, 1, 288)
(0.13, 7, 499)
(0.16, 20, 3164)
(0.04, 22, 528)
(0.02, 17, 1232)
(0.18, 15, 5623)
(0.1, 14, 894)
(0.25, 11, 10369)
(0.2, 17, 4185)
(0.29, 6, 5983)
(0.02, 23, 1152)
(0.11, 21, 855)
(0.04, 1, 401)
(0.03, 3, 355)
(0.1, 7, 755)
(0.3, 16, 50000)
(0.06, 6, 490)
(0.24, 5, 4113)
(0.06, 13, 453)
(0.1, 12, 1237)
(0.29, 22, 50000)
(0.2, 8, 3961)
(0.17, 17, 2798)
(0.18, 3, 302)
(0.3, 16, 45460)
(0.21, 1, 273)
(0.16, 9, 1561)
(0.18, 1, 306)
(0.25, 5, 4028)
(0.06, 11, 720)
(0.15, 2, 248)
(0.0, 23, 20928)
(0.28, 11, 18728)
(0.07, 9, 394)
(0.22, 8, 4796)
(0.3, 11, 42071)
(0.15, 14, 1608)
(0.27, 18, 50000)
(0.14, 17, 2120)
(0.24, 11, 10584)
(0.09, 13, 759)
(0.17, 23, 5932)
(0.23, 7, 6101)
(0.18, 15, 3724)
(0.21, 5, 1117)
(0.2, 2, 359)
(0.23, 8, 5069)
(0.3, 23, 50000)
(0.2, 13, 5268)
(0.06, 3, 285)
(0.06, 23, 824)
(0.25, 12, 4079)
(0.08, 2, 253)
(0.21, 19, 6427)
(0.07, 19, 950)
(0.04, 2, 264)
(0.19, 24, 5282)
(0.18, 6, 2339)
(0.23, 16, 12568)
(0.1, 2, 261)
(0.06, 23, 1312)
(0.23, 18, 11165)
(0.21, 17, 9107)
(0.29, 4, 9788)
(0.26, 12, 11765)
(0.06, 6, 408)
(0.15, 19, 3999)
(0.28, 23, 50000)
(0.05, 11, 415)
(0.07, 13, 617)
(0.06, 1, 287)
(0.18, 21, 7821)
(0.0, 3, 4427)
(0.1, 15, 1436)
(0.15, 22, 2831)
(0.17, 4, 943)
(0.12, 20, 2505)
(0.18, 3, 501)
(0.17, 9, 1369)
(0.14, 19, 2191)
(0.06, 21, 1225)
(0.05, 15, 450)
(0.15, 16, 1867)
(0.05, 3, 301)
(0.14, 19, 2001)
(0.13, 3, 321)
(0.29, 23, 50000)
(0.04, 6, 157)
(0.2, 13, 2343)
(0.22, 25, 7981)
(0.05, 2, 200)
(0.18, 18, 3543)
(0.08, 9, 413)
(0.1, 20, 1355)
(0.2, 3, 927)
(0.08, 15, 1238)
(0.1, 1, 329)
(0.1, 24, 1693)
(0.18, 17, 6569)
(0.18, 12, 1537)
(0.16, 21, 3173)
(0.26, 8, 11611)
(0.1, 11, 698)
(0.08, 12, 851)
(0.23, 9, 10739)
(0.05, 13, 807)
(0.17, 11, 8006)
(0.15, 13, 1120)
(0.02, 17, 922)
(0.13, 15, 1844)
(0.27, 3, 2062)
(0.14, 16, 2907)
(0.19, 17, 2612)
(0.22, 4, 916)
(0.0, 4, 4852)
(0.19, 10, 1776)
(0.2, 24, 10187)
(0.18, 18, 4573)
(0.18, 3, 439)
(0.03, 3, 287)
(0.14, 17, 1419)
(0.03, 11, 543)
(0.09, 20, 769)
(0.2, 8, 3495)
(0.23, 25, 21630)
(0.1, 9, 650)
(0.11, 6, 294)
(0.06, 11, 561)
(0.26, 9, 11991)
(0.08, 6, 355)
(0.23, 14, 9468)
(0.12, 19, 1412)
(0.17, 18, 2237)
(0.21, 6, 1775)
(0.18, 2, 318)
(0.26, 1, 271)
(0.04, 13, 525)
(0.15, 21, 3875)
(0.09, 5, 260)
(0.16, 7, 871)
(0.21, 9, 2250)
(0.0, 21, 8219)
(0.29, 7, 11636)
(0.06, 7, 343)
(0.07, 4, 226)
(0.11, 20, 2257)
(0.27, 25, 50000)
(0.21, 3, 676)
(0.02, 10, 381)
(0.17, 24, 5388)
(0.29, 2, 1974)
(0.07, 9, 657)
(0.23, 11, 3378)
(0.19, 6, 861)
(0.01, 18, 1372)
(0.13, 24, 3545)
(0.23, 24, 12665)
(0.16, 4, 229)
(0.11, 12, 921)
(0.09, 9, 863)
(0.11, 22, 1955)
(0.09, 22, 1019)
(0.29, 24, 50000)
(0.18, 3, 415)
(0.27, 1, 143)
(0.12, 17, 2314)
(0.13, 11, 1262)
(0.28, 19, 50000)
(0.24, 3, 1691)
(0.04, 25, 1343)
(0.12, 21, 2149)
(0.02, 23, 1631)
(0.18, 5, 459)
(0.23, 18, 9510)
(0.24, 14, 13421)
(0.07, 9, 345)
(0.07, 5, 236)
(0.08, 22, 881)
(0.18, 1, 294)
(0.28, 4, 3600)
(0.18, 17, 6320)
(0.14, 20, 4210)
(0.07, 6, 275)
(0.01, 5, 544)
(0.2, 22, 23511)
(0.29, 16, 20396)
(0.21, 16, 8317)
(0.08, 22, 1506)
(0.03, 2, 216)
(0.29, 7, 14223)
(0.13, 11, 862)
(0.03, 11, 857)
(0.03, 23, 825)
(0.16, 6, 684)
(0.26, 9, 8909)
(0.08, 17, 1057)
(0.24, 3, 2429)
(0.24, 11, 11647)
(0.01, 5, 733)
(0.18, 12, 4306)
(0.24, 18, 17999)
(0.14, 8, 510)
(0.26, 24, 43568)
(0.3, 5, 4544)
(0.15, 11, 1433)
(0.0, 20, 13784)
(0.06, 25, 1919)
(0.16, 22, 1830)
(0.19, 7, 1792)
(0.0, 21, 25265)
(0.06, 17, 650)
(0.27, 2, 563)
(0.11, 2, 173)
(0.23, 13, 6640)
(0.0, 14, 8888)
(0.11, 18, 2190)
(0.07, 15, 555)
(0.21, 19, 9634)
(0.23, 6, 4701)
(0.09, 11, 382)
(0.13, 4, 244)
(0.15, 11, 1920)
(0.15, 19, 3243)
(0.01, 2, 496)
(0.07, 10, 518)
(0.09, 24, 2327)
(0.27, 7, 8910)
(0.12, 13, 1727)
(0.21, 4, 864)
(0.1, 23, 1798)
(0.25, 3, 672)
(0.13, 4, 340)
(0.04, 4, 220)
(0.3, 14, 29387)
(0.12, 9, 764)
(0.29, 18, 50000)
(0.13, 3, 239)
(0.23, 4, 864)
(0.15, 16, 1814)
(0.19, 18, 4040)
(0.19, 25, 6507)
(0.24, 17, 19848)
(0.15, 17, 1873)
(0.26, 20, 24111)
(0.25, 18, 14340)
(0.25, 25, 22242)
(0.25, 10, 5667)
(0.2, 8, 2309)
(0.27, 25, 37677)
(0.22, 7, 3829)
(0.05, 16, 791)
(0.17, 5, 943)
(0.14, 16, 3383)
(0.11, 21, 2306)
(0.22, 16, 15380)
(0.18, 6, 1217)
(0.03, 6, 525)
(0.04, 2, 227)
(0.18, 11, 2248)
(0.02, 17, 1725)
(0.11, 4, 214)
(0.05, 23, 777)
(0.02, 1, 579)
(0.23, 24, 35473)
(0.3, 2, 1106)
(0.19, 5, 558)
(0.02, 25, 2121)
(0.26, 20, 50000)
(0.06, 18, 737)
(0.23, 21, 8744)
(0.28, 16, 50000)
(0.22, 4, 1522)
(0.07, 20, 1487)
(0.26, 8, 6611)
(0.14, 23, 3957)
(0.11, 17, 2631)
(0.04, 23, 667)
(0.2, 6, 2603)
(0.24, 8, 5499)
(0.2, 4, 837)
(0.23, 8, 2734)
